번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보X(EPSG5174),좌표정보Y(EPSG5174),의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용,진료과목내용명,지정취소일자,완화의료지정형태,완화의료담당부서명,구급차특수,구급차일반,총인원,구조사수,허가병상수,최초지정일자,관리주체
117,병원,01_01_01_P,5710000,PHMA220245710109021200001,2024-11-15,,01,영업/정상,13,영업중,,,,,043-717-2100,5712.4,,,충청북도 청주시 청원구 주성로 257-0 (주중동),28325,청주21세기병원,2025-03-04 17:57:35,U,2025-03-06 02:40:00,병원,,,병원,71,42,150,5712.4,301 122 116 109 106 105,"정형외과, 신경외과, 마취통증의학과, 영상의학과, 가정의학과, 한방내과",,,,0,0,,,0,,시도
118,병원,01_01_01_P,3600000,PHMA220243600020021200004,2024-11-15,,01,영업/정상,13,영업중,,,,,062-385-8275,6543,,광주광역시 서구 치평동 1236 골드메디타워,"광주광역시 서구 상무중앙로 64, 골드메디타워 5층,9층~13층 (치평동)",61949,상무효정병원,2025-04-18 09:16:36,U,2025-04-20 02:40:00,병원,186158.840821989    ,183735.42430581     ,병원,26,45,170,6543,308 120 104,"외과, 재활의학과, 침구과",,,,0,0,,,0,,시군구
119,병원,01_01_01_P,6430000,202464300002000007,2024-11-15,,01,영업/정상,BBBB,,,,,,0437172100,5712.4,, ,"충청북도 청주시 청원구 주성로 257-0,  (주중동)층 (주중동)",,청주21세기병원,2025-10-20 19:06:05,U,2025-10-23 02:40:00,병원,,,의사,42,49,190,5712.4,,,,,,0,0,,,0,,시도
120,병원,01_01_01_P,3830000,PHMA220243830263021200001,2024-11-04,,01,영업/정상,13,영업중,,,,,031-381-8881,2877.25,,경기도 안양시 동안구 비산동 422-12,"경기도 안양시 동안구 경수대로 876, 2층(일부),3~5층 (비산동)",13954,아이생각성모병원,2025-09-16 15:34:09,U,2025-09-18 02:40:00,병원,,,병원,28,41,58,2877.25,111,소아청소년과,,,,0,0,,,0,,시군구
121,병원,01_01_01_P,3780000,PHMA220243780064021200004,2024-11-04,,01,영업/정상,13,영업중,,,,,031-713-2875,82.1,,경기도 성남시 분당구 수내동 6-7 흥국생명빌딩,"경기도 성남시 분당구 황새울로258번길 37, 흥국생명빌딩 2층 일부호 (수내동)",13595,드림분당예치과병원,2025-05-13 14:58:39,U,2025-05-15 02:40:00,치과병원,210204.853354618    ,430741.529700826    ,치과병원,3,0,0,82.1,405,소아치과,,,,0,0,,,0,,시군구
122,병원,01_01_01_P,3780000,PHMA220243780064021200002,2024-11-04,,01,영업/정상,13,영업중,,,,,031-718-2828,155,,경기도 성남시 분당구 수내동 6-7 흥국생명빌딩,"경기도 성남시 분당구 황새울로258번길 37, 흥국생명빌딩 2층 일부호 (수내동)",13595,스마일분당예치과병원,2025-05-13 15:38:30,U,2025-05-15 02:40:00,치과병원,210204.853354618    ,430741.529700826    ,치과병원,1,0,0,155,412 404,"치과교정과, 통합치의학과",,,,0,0,,,0,,시군구
123,병원,01_01_01_P,3780000,PHMA220243780064021200003,2024-11-04,,01,영업/정상,13,영업중,,,,,031-713-2828,223.5,,경기도 성남시 분당구 수내동 6-7 흥국생명빌딩,"경기도 성남시 분당구 황새울로258번길 37, 흥국생명빌딩 2층 일부호 (수내동)",13595,새로분당예치과병원,2025-05-13 15:25:34,U,2025-05-15 02:40:00,치과병원,210204.853354618    ,430741.529700826    ,치과병원,3,0,0,223.5,403 407,"치과보철과, 치과보존과",,,,0,0,,,0,,시군구
124,병원,01_01_01_P,3620000,PHMA220243620020021200004,2024-10-25,,01,영업/정상,13,영업중,,,,,062-710-0710,2121.05,,광주광역시 북구 용두동 279-1,"광주광역시 북구 하서로 427, 3-6층 (용두동)",61019,잘본한방병원,2025-03-17 09:17:29,U,2025-03-19 02:40:00,한방병원,188511.160304825    ,190432.485118139    ,한방병원,6,30,68,2121.05,105 301 101 303 302 120 306 308 304,"내과, 정형외과, 재활의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방재활의학과, 침구과",,,,0,0,,,0,,시군구
125,병원,01_01_01_P,5310000,PHMA220245310029021200002,2024-10-21,,01,영업/정상,13,영업중,,,,,0557418002,4085.9,,경상남도 진주시 이현동 376-1,"경상남도 진주시 서장대로213번길 7, 지하1~지상4 (이현동)",52653,진주굿모닝병원,2025-06-23 10:33:07,U,2025-06-25 02:40:00,병원,296088.327255638    ,188542.231014133    ,병원,19,49,153,4085.9,120 116 105 102 101,"내과, 신경과, 정형외과, 영상의학과, 재활의학과",,,,0,0,,,0,,시군구
126,병원,01_01_01_P,3640000,PHMA220243640023021200001,2024-10-18,,01,영업/정상,13,영업중,,,,,042-331-1005,1254.81,,,"대전광역시 동구 옥천로 153-0, 1동 (판암동,고래한방병원2층5흥6층)",34675,판암고래한방병원,2025-02-26 15:32:06,U,2025-02-28 02:40:00,한방병원,,,한방병원,12,19,46,1254.81,308 307 306 303 302 301 120 111 106 105 104 101,"내과, 외과, 정형외과, 신경외과, 소아청소년과, 재활의학과, 한방내과, 한방부인과, 한방소아과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시도
127,병원,01_01_01_P,6300000,202463000002000003,2024-10-18,,01,영업/정상,BBBB,,,,,,0423311005,1254.81,, ,"대전광역시 동구 옥천로 153-0,  1동 (판암동,고래한방병원2층5흥6층)층 (판암동)",,판암고래한방병원,2025-10-17 17:21:01,U,2025-10-19 02:40:00,한방병원,,,,20,20,54,1254.81,,,,,,0,0,,,0,,시도
128,병원,01_01_01_P,3340000,PHMA220243340025021200001,2024-10-18,,01,영업/정상,13,영업중,,,,,051-991-1119,2865.35,,,"부산광역시 사하구 낙동대로 446, 지하2층 일부, 1층 일부, 2~4층 전부, 6층 일부 (당리동)",49326,굳건병원,2025-10-20 11:22:45,U,2025-10-23 02:40:00,병원,379560.984344142    ,180230.680636153    ,병원,43,21,68,2865.35,101 102 104 105 106 108 109 111 113 114 116 118 119 120 122 125,"내과, 신경과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과",,,,0,0,,,0,,시군구
129,병원,01_01_01_P,5670000,PHMA220245670554021200002,2024-10-14,,01,영업/정상,13,영업중,,,,,055-715-7100,8624.51,,경상남도 창원시 의창구 사림동 162-1,경상남도 창원시 의창구 용동로57번길 28 (사림동),51139,이에이씨병원,2025-02-20 17:44:42,U,2025-02-22 02:40:00,병원,354396.611003315    ,194626.971041122    ,병원,21,75,187,8624.51,306 122 114 103 102 101,"내과, 신경과, 정신건강의학과, 피부과, 가정의학과, 한방재활의학과",,,,0,0,,,0,,시군구
130,병원,01_01_01_P,3990000,PHMA220243990309021200002,2024-10-11,,01,영업/정상,13,영업중,,,,,0315233980,1897.3,,경기도 남양주시 다산동 6052,"경기도 남양주시 다산순환로 349, 3~5층 (다산동)",12285,다산청아람어린이병원,2024-10-11 15:25:52,I,2024-10-13 00:12:39,병원,213712.2584925      ,458170.929566794    ,병원,20,37,59,1897.3,111,소아청소년과,,,,0,0,,,0,,시군구
131,병원,01_01_01_P,3230000,PHMA220243230034021200005,2024-10-02,,01,영업/정상,13,영업중,,,,,02-6287-5500,2185.61,,서울특별시 송파구 삼전동 72-2 SH타워,"서울특별시 송파구 백제고분로 252, SH타워 2~8층 (삼전동)",05584,강철병원,2025-09-23 15:36:55,U,2025-09-25 02:40:00,병원,208267.150895889    ,444458.879184368    ,병원,4,17,49,2185.61,116 109 106 105 101,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",,,,0,0,,,0,,시군구
132,병원,01_01_01_P,3230000,PHMA220243230034021200004,2024-09-30,,01,영업/정상,13,영업중,,,,,02-418-2275,587.22,,서울특별시 송파구 삼전동 28-6,"서울특별시 송파구 백제고분로 196, 4층~5층 (삼전동)",05581,서울오브치과병원,2024-09-30 12:47:08,I,2024-10-02 00:12:51,치과병원,207738.048148915    ,444641.091314274    ,치과병원,2,0,0,587.22,412 411 410 409 408 407 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",,,,0,0,,,0,,시군구
133,병원,01_01_01_P,4010000,PHMA220244010281021200002,2024-09-30,,01,영업/정상,13,영업중,,,,,031-8042-7584,1019.26,,경기도 시흥시 월곶동 991-28 나보나시티,"경기도 시흥시 월곶중앙로14번길 68, 4층 (월곶동, 나보나시티)",14968,마음한방병원,2025-06-02 17:22:13,U,2025-06-04 02:40:00,한방병원,177058.514988114    ,432258.455022987    ,한방병원,9,14,46,1019.26,308 305 301 122,"가정의학과, 한방내과, 한방신경정신과, 침구과",,,,0,0,,,0,,시군구
134,병원,01_01_01_P,5370000,PHMA220245370025021200001,2024-09-26,,01,영업/정상,13,영업중,,,,,055-633-2368,2280.23,,,"경상남도 거제시 고현천로 30, 신청춘한방병원 (고현동)",53251,신청춘한방병원,2025-09-11 09:30:29,U,2025-09-13 02:40:00,한방병원,348497.272206896    ,155692.704305828    ,한방병원,11,21,42,2280.23,122 301 302 303 304 305 306 307 308,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
135,병원,01_01_01_P,3390000,PHMA220243390023021200003,2024-09-25,,01,영업/정상,13,영업중,,,,,051-312-5566,2266.61,,부산광역시 사상구 괘법동 547-17,부산광역시 사상구 사상로 174 (괘법동),46975,상현한방병원,2025-10-31 09:10:56,U,2025-11-02 02:40:00,한방병원,380889.257093388    ,186460.273172393    ,한방병원,7,12,30,2266.61,308 306 305 302 301 101,"내과, 한방내과, 한방부인과, 한방신경정신과, 한방재활의학과, 침구과",,,,0,0,,,0,,시군구
136,병원,01_01_01_P,3620000,PHMA220243620020021200003,2024-09-24,,01,영업/정상,13,영업중,,,,,062-528-2525,2267.39,,,"광주광역시 북구 비엔날레로 108, 3,5층 (용봉동)",61107,비엔날레병원,2024-10-16 13:14:16,U,2024-10-18 02:40:00,병원,189954.584464959    ,186918.724544673    ,병원,4,40,87,2267.39,101 308,"내과, 침구과",,,,0,0,,,0,,시군구
137,병원,01_01_01_P,3450000,PHMA220243450022021200004,2024-09-19,,01,영업/정상,13,영업중,,,,,053-983-3300,2748.75,,대구광역시 북구 연경동 960-3,"대구광역시 북구 동화천로 237, 3~7층 (연경동)",41409,연경푸른숲한방병원,2025-01-15 15:41:33,U,2025-01-17 02:40:00,한방병원,345826.311353398    ,272558.799360465    ,한방병원,14,42,65,2748.75,308 306 305 304 302 301 122 120 102 101,"내과, 신경과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과",,,,0,0,,,0,,시군구
138,병원,01_01_01_P,3910000,PHMA220243910165021200001,2024-09-19,,01,영업/정상,13,영업중,,,,,031-665-7654,686.04,,,"경기도 평택시 고덕국제7로 117, 5층 (고덕동)",18022,가온한방병원,2025-08-21 14:58:12,U,2025-08-23 02:40:00,한방병원,,,한방병원,11,9,30,686.04,105 301 302 303 304 305 306 307 308,"정형외과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
139,병원,01_01_01_P,6540000,202465400002000001,2024-09-11,,01,영업/정상,1,정상,,,,,0634625000,9109.82,, ,"전북특별자치도 군산시 대학로 375-0,  (나운동)층 (나운동)",,봄요양병원,2025-04-29 18:36:09,U,2025-05-01 02:40:00,요양병원(일반요양병원),172150.804531159    ,273415.362573481    ,의사,33,71,371,9109.82,,,,,,0,0,,,0,,시도
140,병원,01_01_01_P,4671000,PHMA220244671044021200001,2024-09-11,,01,영업/정상,13,영업중,,,,,063462-5000,9109.82,,,"전북특별자치도 군산시 대학로 375-0 (나운동, (나운동))",54142,봄요양병원,2025-04-30 13:54:34,U,2025-05-02 02:40:00,요양병원(일반요양병원),172150.804531159    ,273415.362573481    ,요양병원(일반요양병원),16,70,367,9109.82,301 122 110 108 104 101,"내과, 외과, 성형외과, 산부인과, 가정의학과, 한방내과",,,,0,0,,,0,,시도
141,병원,01_01_01_P,3330000,PHMA220243330024021200002,2024-09-06,,01,영업/정상,13,영업중,,,,,051-744-1004,3516.26,,부산광역시 해운대구 중동 1829 엘시티,"부산광역시 해운대구 달맞이길 30, 포디움동 2층 (중동, 엘시티)",48099,한마음병원,2025-10-21 17:44:17,U,2025-10-23 02:40:00,병원,397540.467298187    ,186751.661439715    ,병원,17,36,59,3516.26,412 122 116 113 111 110 105 103 101,"내과, 정신건강의학과, 정형외과, 산부인과, 소아청소년과, 이비인후과, 영상의학과, 가정의학과, 통합치의학과",,,,0,0,,,0,,시군구
142,병원,01_01_01_P,6530000,202465300002000002,2024-09-06,,01,영업/정상,1,정상,,,,,0338122882,2244,, ,"강원특별자치도 원주시 만대공원길 59-0,  4~6층 (무실동)층 (무실동)",,서울매일치과병원,2025-05-20 13:15:53,U,2025-05-22 02:40:00,치과병원,,,치과의사,10,0,0,2244,,,,,,0,0,,,0,,시도
143,병원,01_01_01_P,4191000,PHMA220244191050021200001,2024-09-06,,01,영업/정상,13,영업중,,,,,033812-2882,1793,,,"강원특별자치도 원주시 만대공원길 59-0, 4~6층 (무실동)",26383,서울매일치과병원,2024-09-09 10:40:08,I,2024-09-11 00:12:58,치과병원,,,치과병원,7,0,0,1793,,,,,,0,0,,,0,,시도
144,병원,01_01_01_P,5540000,PHMA220245540016021200002,2024-09-05,,01,영업/정상,13,영업중,,,,,031-766-0327,2271.98,,경기도 광주시 경안동 20-16,"경기도 광주시 광주대로 31, GA타워 9, 10층 (경안동)",12758,미켈란젤로병원,2025-10-21 17:19:15,U,2025-10-23 02:40:00,병원,222978.08882691     ,434185.710831595    ,병원,24,38,56,2271.98,114 113 111 104 101,"내과, 외과, 소아청소년과, 이비인후과, 피부과",,,,0,0,,,0,,시군구
145,병원,01_01_01_P,5380000,PHMA220245380021021200002,2024-09-05,,01,영업/정상,13,영업중,,,,,055-785-3688,2034.35,,,"경상남도 양산시 물금읍 증산역로 155, 2층 일부~5층",50653,아는마음 한방병원,2025-10-14 10:03:53,U,2025-10-16 02:40:00,한방병원,382472.001271818    ,202989.220855163    ,한방병원,13,42,52,2034.35,101 301 307 308,"내과, 한방내과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
146,병원,01_01_01_P,4070000,PHMA220244070023021200001,2024-09-03,,01,영업/정상,13,영업중,,,,,031-8011-2075,1219,,,"경기도 이천시 중리천로 98, 그랜드웨딩홀 2.5층 (중리동)",17373,이천하늘애한방병원,2025-10-31 13:10:55,U,2025-11-02 02:40:00,한방병원,239648.233281058    ,419610.566422589    ,한방병원,15,11,38,1219,105 301 302 303 304 305 306 307 308,"정형외과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
147,병원,01_01_01_P,4010000,PHMA220244010281021200001,2024-09-02,,01,영업/정상,13,영업중,,,,,031-365-5320,5209.73,,경기도 시흥시 능곡동 898-10 센텀시티Ⅱ,"경기도 시흥시 능곡번영길 20, 센텀시티Ⅱ 3~6층, 7~8층 일부호 (능곡동)",14999,아너스힐병원,2025-10-13 10:35:29,U,2025-10-15 02:40:00,병원,182909.365671496    ,429765.20388897     ,병원,87,72,255,5209.73,301 122 120 114 102 101,"내과, 신경과, 피부과, 재활의학과, 가정의학과, 한방내과",,,,0,0,,,0,,시군구
148,병원,01_01_01_P,3230000,PHMA220243230034021200003,2024-09-02,,01,영업/정상,13,영업중,,,,,1555-1627,2324.98,,,"서울특별시 송파구 송이로 81, 지하2층~지상7층층 (가락동)",05706,더힐병원,2025-10-29 17:00:21,U,2025-10-31 02:40:00,병원,210574.037898234    ,444069.184552292    ,병원,23,26,62,2324.98,101 113 114 116 117 119 120 122,"내과, 이비인후과, 피부과, 영상의학과, 방사선종양학과, 진단검사의학과, 재활의학과, 가정의학과",,,,0,0,,,0,,시군구
149,병원,01_01_01_P,5340000,PHMA220245340030021200001,2024-08-28,,01,영업/정상,13,영업중,,,,,055-786-8400,4761.1,,경상남도 사천시 축동면 가산리 447-1 경남도립정신병원,"경상남도 사천시 축동면 서삼로 1110-37, 경남도립정신병원",52509,의료법인 행복한의료재단 경남도립정신병원,2025-09-03 17:09:26,U,2025-09-05 02:40:00,정신병원,295262.249110603    ,177556.201694672    ,정신병원,10,34,144,4761.1,103,정신건강의학과,,,,0,0,,,0,,시군구
150,병원,01_01_01_P,4540000,PHMA220244540026021200001,2024-08-26,,01,영업/정상,13,영업중,,,,,041-735-3535,1543.98,,충청남도 논산시 반월동 66-1 논산타워,"충청남도 논산시 중앙로 464, 논산타워 401-403,601-602호 (반월동)",32969,논산경희한방병원,2025-03-24 10:39:42,U,2025-03-26 02:40:00,한방병원,207616.421564919    ,300437.62989623     ,한방병원,16,20,60,1543.98,308 307 306 305 304 303 302 301 122 116 101,"내과, 영상의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
151,병원,01_01_01_P,4050000,PHMA220244050148021200001,2024-08-21,,01,영업/정상,13,영업중,,,,,031-287-0119,1403.56,,,"경기도 용인시 기흥구 구갈로 70, 메가타운 801,902호 (구갈동)",16972,한가온한방병원,2025-09-08 20:22:17,U,2025-09-10 02:40:00,한방병원,209834.520522453    ,419847.827938982    ,한방병원,13,20,42,1403.56,101 301 302 303 304 305 306 307 308,"내과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
152,병원,01_01_01_P,4520000,PHMA220244520031021200005,2024-08-14,,01,영업/정상,13,영업중,,,,,041-542-2879,901.65,,충청남도 아산시 탕정면 매곡리 1206,"충청남도 아산시 탕정면 한들물빛6로 46, 6층",31465,365아홉가지약속치과병원,2024-08-14 10:45:37,I,2024-08-17 00:13:21,치과병원,207776.867432376    ,365245.18416428     ,치과병원,0,0,0,901.65,412 411 410 409 408 407 406 405 404 403,"치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",,,,0,0,,,0,,시군구
153,병원,01_01_01_P,3510500,PHMA220243510513021200003,2024-08-14,,01,영업/정상,13,영업중,,,,,032-888-7755,3562.75,,,"인천광역시 미추홀구 독배로 408-1, 4~8층 (용현동)",22183,더나눔병원,2025-07-03 16:59:38,U,2025-07-05 02:40:00,병원,,,병원,29,21,76,3562.75,122 119 116 115 109 108 105 104 102 101,"내과, 신경과, 외과, 정형외과, 성형외과, 마취통증의학과, 비뇨의학과, 영상의학과, 진단검사의학과, 가정의학과",,,,0,0,,,0,,시군구
154,병원,01_01_01_P,3900000,PHMA220243900028021200001,2024-08-08,,01,영업/정상,13,영업중,,,,,02-6334-7575,1962.07,,경기도 광명시 소하동 1340-3,"경기도 광명시 금하로 450, 3층일부,4층,5층 (소하동)",14316,광명가득한방병원,2025-07-25 11:34:35,U,2025-07-27 02:40:00,한방병원,189517.571303949    ,438470.790211513    ,한방병원,17,19,50,1962.07,308 307 306 305 304 303 302 301 105,"정형외과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
155,병원,01_01_01_P,4490000,PHMA220244490261021200002,2024-08-02,,01,영업/정상,13,영업중,,,,,041-584-0916,2869.94,,,"충청남도 천안시 서북구 직산읍 직산로 65, 3,5층",31037,새생명한방병원,2025-06-25 16:33:23,U,2025-06-27 02:40:00,한방병원,213716.810762982    ,375782.285407907    ,한방병원,8,52,87,2869.94,109 301 302 303 304 305 306 307 308,"마취통증의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
156,병원,01_01_01_P,3220000,PHMA220243220033021200001,2024-07-31,,01,영업/정상,13,영업중,,,,,02-3452-8889,1211.24,,,"서울특별시 강남구 언주로 327, 아폴로빌딩 지하1층~지상7층 (역삼동)",06226,우모한방병원,2025-06-12 17:34:05,U,2025-06-15 02:40:00,한방병원,203902.605          ,443874.3            ,한방병원,13,30,49,1211.24,104 301 302 303 304 305 306 308,"외과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과",,,,0,0,,,0,,시군구
157,병원,01_01_01_P,6430000,202464300002000006,2024-07-29,,01,영업/정상,1,정상,,,,,0432838850,0,, ,"충청북도 청주시 상당구 무심동로 22-0,  2~4층 (용암동)층 (용암동)",,마음따뜻한방병원,2025-09-25 21:56:06,U,2025-09-27 02:40:00,한방병원,244667.68130352     ,345143.297678744    ,한의사,15,30,90,0,,,,,,0,0,,,0,,시도
158,병원,01_01_01_P,5710000,PHMA220245710106021200003,2024-07-29,,01,영업/정상,13,영업중,,,,,043-283-8850,3087.42,,,"충청북도 청주시 상당구 무심동로 22-0 (용암동, 2~4층 (용암동))",28789,마음따뜻한방병원,2025-10-15 13:37:26,U,2025-10-17 02:40:00,한방병원,244667.68130352     ,345143.297678744    ,한방병원,0,28,65,3087.42,308 307 306 305 304 303 302 301 122,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시도
159,병원,01_01_01_P,3940000,PHMA220243940138021200001,2024-07-25,,01,영업/정상,13,영업중,,,,,0269565599,1681.2,,경기도 고양시 덕양구 지축동 996,"경기도 고양시 덕양구 지축로 50, 6층,7층 (지축동)",10585,지축아이제일병원,2025-10-24 09:31:09,U,2025-10-26 02:40:00,병원,,,병원,25,30,48,1681.2,122 114 113 111 101,"내과, 소아청소년과, 이비인후과, 피부과, 가정의학과",,,,0,0,,,0,,시군구
160,병원,01_01_01_P,3450000,PHMA220243450022021200003,2024-07-16,,01,영업/정상,13,영업중,,,,,053-242-7000,9563.26,,대구광역시 북구 산격동 625-3,"대구광역시 북구 호국로 13, 지하1층,지상1~7층 (산격동)",41502,대구시티요양병원,2025-10-30 11:28:51,U,2025-11-01 02:40:00,요양병원(일반요양병원),344600.998726956    ,268236.495428317    ,요양병원(일반요양병원),11,64,284,9563.26,308 305 302 301 122 120 110 106 105 104 102 101,"내과, 신경과, 외과, 정형외과, 신경외과, 산부인과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방신경정신과, 침구과",,,,0,0,,,0,,시군구
161,병원,01_01_01_P,3450000,PHMA220243450022021200002,2024-07-12,,01,영업/정상,13,영업중,,,,,053-716-5600,6668.65,,대구광역시 북구 동호동 151-5,"대구광역시 북구 호국로 861, 본관동 지상1~5층 (동호동)",41404,경대돌담병원,2025-10-16 15:19:43,U,2025-10-18 02:40:00,병원,340786.864417384    ,274332.023954739    ,병원,28,49,140,6668.65,308 122 120 111 102 101,"내과, 신경과, 소아청소년과, 재활의학과, 가정의학과, 침구과",,,,0,0,,,0,,시군구
162,병원,01_01_01_P,3660000,PHMA220243660023021200002,2024-07-09,,01,영업/정상,13,영업중,,,,,042-721-0777,2846.47,,,"대전광역시 서구 계백로 993-0, 6~8층 (관저동,대전관저클리닉센터)",35362,이김병원,2024-07-09 15:42:20,I,2024-07-11 00:14:46,병원,229963.242354792    ,311295.407723314    ,병원,23,17,54,2846.47,116 109 106 105,"정형외과, 신경외과, 마취통증의학과, 영상의학과",,,,0,0,,,0,,시도
163,병원,01_01_01_P,6300000,202463000002000002,2024-07-09,,01,영업/정상,1,정상,,,,,0427210777,2846.47,,대전광역시 서구 관저동  1733번지 0호 대전관저클리닉센터 0호,"대전광역시 서구 계백로 993-0, 대전관저클리닉센터층 (관저동,대전관저클리닉센터)",,이김병원,2025-10-27 10:58:50,U,2025-10-29 02:40:00,병원,229963.242354792    ,311295.407723314    ,의사,37,22,79,2846.47,,,,,,0,0,,,0,,시도
164,병원,01_01_01_P,3420000,PHMA220243420023021200001,2024-07-08,,01,영업/정상,13,영업중,,,,,053-957-5000,1297,,대구광역시 동구 동호동 366-4,"대구광역시 동구 안심로 358, 2~4층 (동호동)",41086,수월한방병원,2025-06-19 18:22:06,U,2025-06-21 02:40:00,한방병원,355609.733181806    ,264435.005001015    ,한방병원,17,16,50,1297,308 307 306 305 304 303 302 301 101,"내과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
165,병원,01_01_01_P,3230000,PHMA220243230034021200002,2024-07-02,,01,영업/정상,13,영업중,,,,,02-573-9573,2077.77,,서울특별시 송파구 삼전동 180-8 태영빌딩,"서울특별시 송파구 삼학사로 53, 태영빌딩 1~7층 (삼전동)",05585,엠에스병원,2025-09-23 15:35:47,U,2025-09-25 02:40:00,병원,208477.775692904    ,444434.523206585    ,병원,34,30,72,2077.77,122 109,"마취통증의학과, 가정의학과",,,,0,0,,,0,,시군구
166,병원,01_01_01_P,3470000,PHMA220243470022021200002,2024-06-27,,01,영업/정상,13,영업중,,,,,053-631-0001,1480,,대구광역시 달서구 월성동 1820,"대구광역시 달서구 조암로 20, 4~7층 (월성동)",42752,꽃담한방병원 월성점,2025-08-01 15:25:23,U,2025-08-03 02:40:00,한방병원,337960.762617221    ,259468.773715553    ,한방병원,19,26,53,1480,308 307 306 305 304 303 302 301 114 104,"외과, 피부과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
167,병원,01_01_01_P,4520000,PHMA220244520031021200004,2024-06-25,,01,영업/정상,13,영업중,,,,,041-533-1000,1688.43,,,"충청남도 아산시 탕정면 한들물빛6로 46, 4~5층",31465,레메디한방병원,2025-04-09 16:15:01,U,2025-04-11 02:40:00,한방병원,207776.867432376    ,365245.18416428     ,한방병원,10,14,40,1688.43,308 306 304 302 301 109,"마취통증의학과, 한방내과, 한방부인과, 한방안·이비인후·피부과, 한방재활의학과, 침구과",,,,0,0,,,0,,시군구
168,병원,01_01_01_P,5380000,PHMA220245380021021200001,2024-06-21,,01,영업/정상,13,영업중,,,,,055-385-0365,4658.03,,경상남도 양산시 물금읍 범어리 2711-33,"경상남도 양산시 물금읍 범구로 27, 2~6층,10층",50611,한아름병원,2025-10-01 10:02:26,U,2025-10-03 02:40:00,병원,383107.101748324    ,204948.394983399    ,병원,30,31,45,4658.03,122 111 110 109 104 101,"내과, 외과, 마취통증의학과, 산부인과, 소아청소년과, 가정의학과",,,,0,0,,,0,,시군구
169,병원,01_01_01_P,6460000,202464600002000002,2024-06-11,,01,영업/정상,1,정상,,,,,0616893000,13713.43,,전라남도 여수시 오림동  413번지 2호 2호,전라남도 여수시 좌수영로 251-0 (오림동),,여수가온병원,2025-07-01 10:38:45,U,2025-07-03 02:40:00,병원,265621.889966269    ,140076.11967027     ,의사,66,63,164,13713.43,,,,,,0,0,,,0,,시군구(위임)
